Location ID,Location Name,Hospital,"Aviva, Key List - Personal Care","Aviva, Key List - Select Care","Aviva, Key List - Children's","Aviva, Extended List - Express Care","Aviva, Extended List - Exclusive","Aviva, Extended List - Company Connect","Aviva, Extended List - Company Healthcover",Aviva - Fair & Square,Aviva - Speedy Diagnostics,Aviva - Capital Option List,Aviva -Trust Hospital List,IGNORE AFTER THIS COLUMN,"Personal Care, Select Care, Children's Private Medical Insurance","Express Care, Exclusive, Company Connect, Company Healthcover",T,Signature (Scotland & NI),Aviva - Capital Option,Country
RN325,Great Western Hospital ,The Great Western Hopital - The Shalbourne Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
1-1890528285,The Holly Private Hospital ,The Holly Private Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-109183027,Horder Healthcare ,The Horder Centre,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
RBQHQ,Liverpool Heart and Chest Hospital ,The Liverpool Heart & Chest Hospital,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
1-2115222657,"The Mcindoe Centre, Part of Horder Healthcare ",The McIndoe Centre,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
RWFTW,The Tunbridge Wells Hospital at Pembury ,Tunbridge Wells Hospital - The Wells Suite,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,England
1-126955711,The Wellington Hospital ,Wellington Hospital,,,,1,1,1,1,1,,C,,,,1,,,1,England
RNLBX,West Cumberland Hospital ,West Cumberland Hospital - Cumbrian Clinic,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
RA301,Weston General Hospital ,Weston General Hospital - Waterside Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
RDU50,Wexham Park Hospital ,Wexham Park Hospital - Paragon Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
1-129508000,Weymouth Hospital ,Weymouth Street Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-1512006286,Woodthorpe Hospital ,Woodthorpe Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
RRF53,Wrightington Hospital ,Wrightington Hospital - John Charnley Wing,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
RA430,Yeovil District Hospital ,Yeovil Distric Hospital - Kingston Ward,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
,,General Hospital (Jersey),1,1,1,1,1,1,1,,,1,,,1,1,,,,Channel Islands
,,Princess Elizabeth Hospital (Guernsey),1,1,1,1,1,1,1,,,1,,,1,1,,,,Channel Islands
,,Ballykelly (NI),1,1,1,1,1,1,1,,1,1,,,1,1,,1,,NI
,,Belfast (NI),1,1,1,1,1,1,1,,1,1,,,1,1,,1,,NI
,,Kingsbridge Private Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,1,,NI
,,North West Independent Clinic (NI),1,1,1,1,1,1,1,,1,1,,,1,1,,1,,NI
,,Ulster Independent Clinic (NI),1,1,1,1,1,1,1,,1,1,,,1,1,,1,,NI
,,BMI Carrick Glen,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,Scotland
,,BMI King's Park,1,1,1,1,1,1,1,,1,1,,,1,1,,1,,Scotland
,,BMI Ross Hall Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,Scotland
,,BMI The Albyn Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,Scotland
,,Nuffield Health Glasgow Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,Scotland
,,Spire Murrayfield Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,Scotland
,,BMI Wendale Private Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,Wales
,,Nuffield Health Vale Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,Wales
,,Princes of Wales Hospital - The Bridgend Clinic,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,Wales
,,Sancta Maria Private Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,Wales
,,Spire Cardiff Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,Wales
,,Spire Yale Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,Wales
,,St Joseph's Private Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,Wales
